epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.4968120260443937,0.6919305984045498,1.58957437479496,0.60474753,0.5192868,0.39265054,0.07288948
2,0.6998942701720333,0.872020746782638,0.605108943760395,0.24946108,0.2639462,0.058228396,0.03347324
3,0.7590960853377638,0.9094705947811348,0.42781896924972534,0.1736034,0.19131969,0.037113342,0.025782535
4,0.7779671840398271,0.9176007860558775,0.3541627230644226,0.14319937,0.16216832,0.026565032,0.022229996
5,0.7941419409729435,0.924624858644922,0.3073495340049267,0.12241996,0.1449165,0.020012978,0.020000078
6,0.800966875699893,0.9229255247523184,0.2676585658788681,0.1053099,0.13002765,0.014006878,0.018314125
7,0.8025626677743645,0.921093272005917,0.23605441799759866,0.09110254,0.11859651,0.009271046,0.01708432
8,0.8072333108402345,0.9238787486332007,0.21202011016011238,0.078547336,0.11082926,0.0066572623,0.015986258
9,0.8091350013489982,0.9198444523416968,0.19111630910634994,0.068375506,0.1033049,0.004440788,0.014995121
10,0.8086782041643169,0.9206498703702939,0.1762786117941141,0.06132814,0.09684045,0.0039171423,0.014192885
